Ground Camera to Satellite Center Distance Analysis
============================================================

Total samples: 33569
Valid projections: 30100
Success rate: 89.67%

Distance Statistics (pixels):
  Mean: 18.19 ± 19.23
  Median: 9.84
  Min: 0.00
  Max: 98.01

Individual Results:
  Sample 638: 60.91 pixels
  Sample 639: 17.44 pixels
  Sample 640: 7.80 pixels
  Sample 641: 1.57 pixels
  Sample 642: 1.50 pixels
  Sample 643: 2.78 pixels
  Sample 644: 30.31 pixels
  Sample 645: 26.36 pixels
  Sample 646: 2.95 pixels
  Sample 647: 17.04 pixels
  Sample 648: 2.99 pixels
  Sample 649: 3.33 pixels
  Sample 650: 5.39 pixels
  Sample 651: 87.21 pixels
  Sample 652: 60.59 pixels
  Sample 653: 2.22 pixels
  Sample 654: 5.83 pixels
  Sample 655: 9.31 pixels
  Sample 656: 27.92 pixels
  Sample 657: 5.70 pixels
  Sample 658: 50.42 pixels
  Sample 659: 13.28 pixels
  Sample 660: 26.63 pixels
  Sample 661: 10.20 pixels
  Sample 662: 42.87 pixels
  Sample 663: 35.01 pixels
  Sample 664: 29.95 pixels
  Sample 665: 15.11 pixels
  Sample 666: 16.65 pixels
  Sample 667: 30.20 pixels
  Sample 668: 27.90 pixels
  Sample 669: 33.04 pixels
  Sample 670: 63.11 pixels
  Sample 671: 8.95 pixels
  Sample 672: 40.04 pixels
  Sample 673: 42.25 pixels
  Sample 674: 32.28 pixels
  Sample 675: 2.52 pixels
  Sample 676: 35.53 pixels
  Sample 677: 40.30 pixels
  Sample 678: 2.48 pixels
  Sample 679: 4.66 pixels
  Sample 680: 3.73 pixels
  Sample 681: 3.73 pixels
  Sample 682: 2.22 pixels
  Sample 683: 51.70 pixels
  Sample 684: 74.29 pixels
  Sample 685: 68.88 pixels
  Sample 686: 80.22 pixels
  Sample 687: 17.79 pixels
  Sample 688: 1.76 pixels
  Sample 689: 30.60 pixels
  Sample 690: 43.04 pixels
  Sample 691: 32.88 pixels
  Sample 692: 34.52 pixels
  Sample 693: 1.24 pixels
  Sample 694: 76.05 pixels
  Sample 695: 12.39 pixels
  Sample 696: 6.35 pixels
  Sample 697: 48.71 pixels
  Sample 698: 63.85 pixels
  Sample 699: 6.72 pixels
  Sample 700: 1.76 pixels
  Sample 701: 30.98 pixels
  Sample 702: 24.61 pixels
  Sample 703: 10.02 pixels
  Sample 704: 9.23 pixels
  Sample 705: 3.56 pixels
  Sample 706: 28.89 pixels
  Sample 707: 5.01 pixels
  Sample 708: 0.28 pixels
  Sample 709: 4.75 pixels
  Sample 710: 2.78 pixels
  Sample 711: 31.29 pixels
  Sample 712: 81.12 pixels
  Sample 713: 19.52 pixels
  Sample 714: 9.32 pixels
  Sample 715: 58.09 pixels
  Sample 716: 13.10 pixels
  Sample 717: 14.96 pixels
  Sample 718: 10.33 pixels
  Sample 719: 5.12 pixels
  Sample 720: 66.70 pixels
  Sample 721: 40.87 pixels
  Sample 722: 44.34 pixels
  Sample 723: 53.18 pixels
  Sample 724: 9.28 pixels
  Sample 725: 45.77 pixels
  Sample 726: 40.62 pixels
  Sample 727: 27.96 pixels
  Sample 728: 8.96 pixels
  Sample 729: 15.86 pixels
  Sample 730: 68.50 pixels
  Sample 731: 5.96 pixels
  Sample 732: 62.74 pixels
  Sample 733: 76.57 pixels
  Sample 734: 9.69 pixels
  Sample 735: 21.29 pixels
  Sample 736: 20.40 pixels
  Sample 737: 2.86 pixels
  Sample 738: 2.99 pixels
  Sample 739: 37.35 pixels
  Sample 740: 10.33 pixels
  Sample 741: 5.83 pixels
  Sample 742: 9.51 pixels
  Sample 743: 4.25 pixels
  Sample 744: 12.94 pixels
  Sample 745: 35.22 pixels
  Sample 746: 56.59 pixels
  Sample 747: 66.25 pixels
  Sample 748: 1.15 pixels
  Sample 749: 2.17 pixels
  Sample 750: 9.04 pixels
  Sample 751: 73.81 pixels
  Sample 752: 11.88 pixels
  Sample 753: 10.02 pixels
  Sample 754: 18.92 pixels
  Sample 755: 18.14 pixels
  Sample 756: 15.84 pixels
  Sample 757: 36.56 pixels
  Sample 758: 1.67 pixels
  Sample 759: 2.00 pixels
  Sample 760: 19.30 pixels
  Sample 761: 30.06 pixels
  Sample 762: 24.37 pixels
